,Cost,Mfr Dt Fz,Product,Contract Cust Id,Contract Dt,Contract Expiration Dt,Nbv,Billing Status Fz,Top1Lessee,Top3Lessees,MfrAge,ExpYear
11031,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
619,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
27109,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
22520,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.004,ON,0,1,4.51,4.06
16308,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
553,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
24087,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.161,ON,0,1,4.51,4.06
2407,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.796,ON,0,1,4.77,7.36
3358,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.31,ON,1,1,4.57,9.86
4238,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.313,ON,1,1,4.57,9.86
17179,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
7215,3682.0,1/1/2018,1,CMA,2020-06-01,2032-05-31,2869.538,ON,0,0,4.73,9.69
27283,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
10165,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
6002,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
20128,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
5422,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.57,9.86
16858,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
21345,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.459,ON,0,1,4.47,4.06
21104,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.456,ON,0,1,4.47,4.06
9893,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4136.34,ON,0,1,1.5,6.65
15075,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
7690,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2983.208,ON,1,1,4.29,9.86
5257,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.57,9.86
29344,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.486,ON,0,1,4.73,7.36
22792,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.088,ON,0,1,4.51,4.06
22252,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.001,ON,0,1,4.51,4.06
28720,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.484,ON,0,1,4.73,7.36
24185,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.17,ON,0,1,4.51,4.06
29241,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.486,ON,0,1,4.73,7.36
6240,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
24184,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.17,ON,0,1,4.51,4.06
4031,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.312,ON,1,1,4.57,9.86
18655,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
14031,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
8140,3702.0,6/11/2018,1,MSC,2018-03-01,2032-07-31,2967.91,ON,1,1,4.29,9.86
17099,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
23312,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.08,ON,0,1,4.51,4.06
14203,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
13903,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
16930,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
8577,3773.0,7/13/2018,1,COSMR,2019-01-01,2024-04-30,3126.976,ON,0,0,4.2,1.6
18313,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
17820,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
19790,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.45,ON,0,1,4.47,4.06
6478,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.008,ON,1,1,4.73,9.86
16945,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
5030,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2933.008,ON,1,1,4.57,9.86
25651,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.26,ON,0,1,4.51,4.06
6527,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.008,ON,1,1,4.73,9.86
20768,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.453,ON,0,1,4.47,4.06
27492,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
27097,3682.0,1/1/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.73,7.36
29460,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.489,ON,0,1,4.73,7.36
23040,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.09,ON,0,1,4.51,4.06
14432,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
21206,3849.0,4/6/2018,1,ONE,2018-02-01,2026-10-14,3123.456,ON,0,1,4.47,4.06
26691,2267.0,3/16/2018,1,ONE,2018-02-01,2026-10-14,1904.185,ON,0,1,4.53,4.06
23205,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.09,ON,0,1,4.51,4.06
11962,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
18211,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
26734,2267.0,3/16/2018,1,ONE,2018-02-01,2026-10-14,1904.185,ON,0,1,4.53,4.06
29271,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.486,ON,0,1,4.73,7.36
13643,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
11454,4420.0,3/24/2021,1,ONE,2020-11-16,2029-05-15,4155.25,ON,0,1,1.5,6.65
23683,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1879.92,ON,0,1,4.51,4.06
5738,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
9289,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.96,ON,1,1,1.43,6.77
1301,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.838,ON,0,1,4.77,7.36
29971,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.49,ON,0,1,4.73,7.36
2045,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.796,ON,0,1,4.77,7.36
11806,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
16266,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
15553,6000.0,4/8/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.46,6.77
