,Cost,Mfr Dt Fz,Product,Contract Cust Id,Contract Dt,Contract Expiration Dt,Nbv,Billing Status Fz,Top1Lessee,Top3Lessees,MfrAge,ExpYear
2751,3682.0,2/28/2018,1,MSC,2018-03-01,2032-07-31,2917.31,ON,1,1,4.57,9.86
18873,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.958,ON,1,1,1.43,6.77
18816,5150.0,4/20/2021,1,MSC,2021-04-01,2029-06-30,4773.958,ON,1,1,1.43,6.77
13759,6007.0,4/28/2021,1,MSC,2021-04-01,2029-06-30,5618.8,ON,1,1,1.41,6.77
25382,2262.0,3/21/2018,1,ONE,2018-02-01,2026-10-14,1900.272,ON,0,1,4.51,4.06
23504,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1896.09,ON,0,1,4.51,4.06
28753,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.484,ON,0,1,4.73,7.36
6150,3682.0,1/1/2018,1,MSC,2018-03-01,2032-07-31,2933.0,ON,1,1,4.73,9.86
17968,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
2598,3714.8,7/13/2018,1,PANOCEAN,2018-07-16,2023-09-30,3023.447,ON,0,0,4.2,1.02
22402,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1888.0,ON,0,1,4.51,4.06
24428,2267.0,3/22/2018,1,ONE,2018-02-01,2026-10-14,1880.705,ON,0,1,4.51,4.06
18755,6000.0,4/12/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.45,6.77
542,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.836,ON,0,1,4.77,7.36
11984,4420.0,3/3/2021,1,ONE,2020-11-16,2029-05-15,4117.43,ON,0,1,1.56,6.65
29368,2182.0,1/2/2018,1,HAPAG,2017-11-01,2030-01-31,1784.487,ON,0,1,4.73,7.36
16286,6000.0,5/9/2021,1,MSC,2021-04-01,2029-06-30,5612.35,ON,1,1,1.38,6.77
28507,3682.0,1/3/2018,1,HAPAG,2017-11-01,2030-01-31,2869.54,ON,0,1,4.72,7.36
806,3832.0,12/18/2017,1,HAPAG,2017-11-01,2030-01-31,2981.834,ON,0,1,4.77,7.36
